id,isbn,titulo,autor,genero_id,editorial_id
1,9789500728956,Rayuela,Julio Cortázar,1,2
2,9788420471839,Cien años de soledad,Gabriel García Márquez,1,3
3,9789507319025,El Aleph,Jorge Luis Borges,1,6
4,9788433925906,2666,Roberto Bolaño,9,4
5,9789504911360,Ficciones,Jorge Luis Borges,1,6
6,9788437604947,Pedro Páramo,Juan Rulfo,1,3
7,9789872070597,Sapiens,Yuval Noah Harari,6,5
8,9788439732852,El Principito,Antoine de Saint-Exupéry,3,1
9,9788498387418,1984,George Orwell,8,9
10,9789505477239,Martín Fierro,José Hernández,5,10
